comment,label
Megathread: Joe Biden Projected to Defeat President Donald Trump and Win the 2020 US Presidential Election,1
"AOC challenges Trump to release his college transcript after he called her a 'poor student' on Fox News | 'You release your college transcript, I’ll release mine, and we’ll see who was the better student. Loser has to fund the Post Office,' New York congresswoman tweets",-1
Trump Threatens to ‘Leave the Country’ if He Loses to Biden,-1
"Video emerges showing Trump talking about cutting pandemic team in 2018, despite saying last week 'I didn't know about it'",0
Biden says he'd like live onscreen fact checks to combat Trump 'lies' during debates,0
"Trump must turn over financial documents to New York attorney general, judge rules",0
"The Trump administration paid a bankrupt company with zero employees $55 million for N95 masks, which it's never manufactured",-1
Georgia Judge Throws Out Trump Campaign Lawsuit That Produced Exactly Zero Evidence of Fraud,-1
Megathread: President Donald Trump announces he has tested positive for Coronavirus,1
"James Mattis Denounces President Trump, Describes Him as a Threat to the Constitution",-1
"Chuck Schumer made sure businesses controlled by Trump, his family, and top US officials couldn't get money from the government's $2 trillion coronavirus bailout fund",1
Twitter bans posts wishing for Trump death. The Squad wonders where that policy was for them,-1
Megathread: Long-Concealed Records Show President Trump’s Losses and Years of Tax Avoidance,-1
Pence breaks silence to take credit for Pfizer vaccine - and drugs company immediately denies Trump involved,0
Trump threatens shut down social media platforms after Twitter put a disinformation warning on his false tweets,-1
Trump claims in debate ‘Portland Sheriff’ gave him endorsement; Reese quickly responds: I ‘will never support him’,0
Pentagon to ban all Confederate flags on military bases despite Trump's objections,-1
AOC Condemns 'Misogynistic' Republicans for Not Criticizing Trump's $70K Hairstyling Write-Off While Attacking Her $250 Haircut,-1
"Jared Kushner helped create a Trump campaign shell company that secretly paid the president's family members and spent $617 million in reelection cash, a source tells Insider",1
Georgia Judge Throws Out Trump Campaign Lawsuit That Produced Exactly Zero Evidence of Fraud,-1
Donald Trump Labelled 'Loser of the Year' by Europe's Biggest News Magazine,-1
"Georgia election official says hand tally of presidential race is complete, the results affirm Biden’s lead over Trump",1
