headline,label
Megathread: Joe Biden Projected to Defeat President Donald Trump and Win the 2020 US Presidential Election,1
"AOC challenges Trump to release his college transcript after he called her a 'poor student' on Fox News | 'You release your college transcript, I’ll release mine, and we’ll see who was the better student. Loser has to fund the Post Office,' New York congresswoman tweets",-1
Trump Threatens to ‘Leave the Country’ if He Loses to Biden,-1
"Demands for Kushner to Resign Over 'Staggering' Level of 'Depravity' That Put Politics Before Public Health. ""Holy hell. Jared Kushner reportedly abandoned a national testing plan because it was *politically advantageous* to sit back and let blue states be eviscerated by the virus.""",-1
Over A million people sign petition calling for KKK to be declared a terrorist group,-1
Biden's Pennsylvania lead is now big enough to avoid an automatic recount,-1
Virginia governor makes Election Day a holiday and expands early voting,1
"FBI Asks for Evidence of Individuals Inciting Violence During Protests, People Respond With Videos of Police Violence",-1
Joe Biden Has Taken The Lead In The Historically Red State Of Georgia,0
"Video emerges showing Trump talking about cutting pandemic team in 2018, despite saying last week 'I didn't know about it'",0
"Texas Supreme Court rejects Republican-led effort to throw out nearly 127,000 Harris County votes",0
Biden says he'd like live onscreen fact checks to combat Trump 'lies' during debates,0
Video of Lindsey Graham insisting Supreme Court vacancies should never be filled in election years goes viral,1
Democratic nominee Joe Biden tests negative for coronavirus after potential exposure,-1
"Trump must turn over financial documents to New York attorney general, judge rules",0
"Goodbye, Betsy DeVos",0
Japan is 'shocked' and furious at the US after a major coronavirus outbreak at 2 Marine bases in Okinawa — and says the US is not taking the virus seriously,-1
"The Trump administration paid a bankrupt company with zero employees $55 million for N95 masks, which it's never manufactured",-1
"Bloomberg pays fines for 32,000 felons in Florida so they can vote",0
Andrew Yang moving to Atlanta to help Democrats win Senate runoffs,1
Georgia Judge Throws Out Trump Campaign Lawsuit That Produced Exactly Zero Evidence of Fraud,-1
Joe Biden wins Wisconsin,1
Removed US coronavirus vaccine director files stunning whistleblower complaint claiming warnings were ignored,-1
Megathread: President Donald Trump announces he has tested positive for Coronavirus,1
