headline,label
An anti-gay Hungarian politician has resigned after being caught by police fleeing a 25-man orgy through a window,-1
"Mexico is considering closing its border to stop Americans bringing coronavirus into its country as US case count passes 2,000",-1
Brazilian president Jair Bolsonaro tests positive for coronavirus,1
B-52 US bombers fly over Middle East; Iran condemns intimidation. Iranian foreign minister says the US would be better off spending its military billions ‘on your taxpayers’ health’.,-1
"Scottish Parliament votes for immediate suspension of tear gas, rubber bullet and riot shield exports to US",-1
Uighur group calls for China to lose 2022 Games over 'genocide',-1
"A conservation group has closed a $15.65 million deal to buy the largest privately owned giant sequoia grove left on Earth, an ancient forest with hundreds of the endangered redwood trees, which can live for 3,000 years and rise nearly as tall as the Statue of Liberty.",1
Thousands of Hongkongers defy police ban to commemorate Tiananmen Massacre victims at Victoria Park,-1
Boris Johnson Has Tested Positive For Coronavirus,1
'Price gouging from Covid': student ebooks costing up to 500% more than in print - Call for inquiry into academic publishers as locked-down students unable to access study material online,0
"'Sell one of your three yachts!': Outrage as billionaire Sir Philip Green asks for taxpayer help to pay emergency wages to 14,500 workers he has furloughed",-1
Merkel says the coronavirus pandemic has exposed leaders who rely on 'fact-denying populism',0
"Protests erupt in Jerusalem over murder of Eyad Halaq, an unarmed autistic Palestinian, by Israeli forces",-1
Blden sworn in as U.S. president,0
Coronavirus Vaccine Made In Saskatchewan Canada Is Now In The Testing Stages,0
UK will veto Donald Trump's bid to let Russia back into the G7 as there is no evidence of 'changed behaviour' since Putin annexed the Crimea,-1
Newly revealed financial records show Trump owes millions to state-owned bank in China: report,0
Boris Johnson says 3m people in Hong Kong will get path to British citizenship,0
"South African president, Cyril Ramaphosa, says that they are willing to share their lessons from its peaceful transition to democracy with the US.",1
"If U.S. President Donald Trump goes ahead with his threat to close Twitter, the site can always relocate to Germany, a senior German official suggests",-1
Ireland help raise 1.8 million dollars for the Choctaw badly affected by Covid-19 as payback for a $150 donation by the Choctaw tribe in 1847 during the Irish Potatoe famine,-1
"Research finds that New Zealand beat Covid-19 by trusting leaders and following advice. Citizens had a high level of knowledge about coronavirus and how it spread, and compliance with basic hygiene practices and trust in authorities was at nearly 100%.",1
Students in Japan submit petition to raise age of consent from 13 to 16.,1
"South Korean church sprayed salt water inside followers' mouths, believing it would prevent coronavirus. 46 people got infected because they used the same nozzle",-1
"Coca-Cola, Pepsi and Nestlé named top plastic polluters for third year in a row",-1
Doctor in charge of treating Alexei Navalny in Russia after Novichok poisoning dies suddenly and 'very unexpectedly' of suspected heart attack aged 55,-1
"World's largest vaccine manufacturer in Maharashtra, India wants to cap vaccine price at $3",0
The UK will introduce a new visa at the end of January that will give 5.4 million Hong Kong residents - a staggering 70% of the territory's population - the right to come and live in the UK,0
"Aldi tells suppliers product packaging must be 100% recyclable, reusable or compostable by 2025",0
Pope Francis takes aim at anti-mask protestors: ‘They are incapable of moving outside of their own little world’,-1
Iran issues arrest warrant for Trump; asks Interpol to help,0
Fury erupts outside Buckingham Palace as enraged crowds scream 'paedophile' at gates,-1
"New Zealand secures enough vaccine for all New Zealanders, and six pacific nations",1
US bans all cotton and tomato products from Xinjiang over slave labor,0
Brazilian spokesperson tests positive for COVID-19 after he meets with Trump and Pence at Mar-a-Lago,1
Irish Developed Testing Kit confirms Coronavirus in 15 minutes,0
"Canada bans assault weapons, including 1500+ models and variants",-1
Denmark and Poland are refusing to bail out companies registered in offshore tax havens,-1
"Australian PM: ""Stop hoarding. I can’t be more blunt about it. Stop it. It is not sensible, it is not helpful and it has been one of the most disappointing things I have seen in Australian behaviour in response to this crisis.""",-1
New Zealand beats Coronavirus for the second time with no active community cases as of today.,0
'Dictatorships often start in the face of a threat': UN privacy chief warns against long-lasting theft of freedoms amid coronavirus surveillance,1
World Health Organization declares the coronavirus outbreak a global pandemic,0
"Coca-Cola 'paid scientists to downplay how sugary beverages fueled the obesity crisis between 2013-2015,' medical journal study finds",-1
Chinese tech billionaire Jack Ma was removed from his own reality TV show including the judging webpage and has not been seen in public for two months after falling foul of President Xi in anti-regulation speech,0
"Sudan Ends 30 Years of Islamic Law by Separating Religion, State",0
Black Lives Matter protesters in Bristol pull down statue of 17th century slave trader,-1
Large bitcoin payments to right-wing activists a month before Capitol riot linked to foreign account,-1
"Unidentified masked men snatched the leading Belarusian opposition figure, Maria Kolesnikova, from the street in the centre of the capital, Minsk, on Monday and drove her away in a minivan, witnesses told local media.",0
Canada Is Allowing People With Depression to Do Psychedelic Mushrooms,-1
"Mexico closes US border in Arizona to stop July 4th visitors, citing COVID-19 fears",-1
Philippines poised to lift age of consent for sex from 12 to 16 after decades of lobbying from children’s rights activists,1
Donald Trump's press secretary says police who attacked Australian journalists 'had right to defend themselves',-1
The Mexican state of Oaxaca has banned the sale of junk food and sugary drinks to children in an attempt to reduce high obesity and diabetes levels.,-1
Shenzhen becomes first city in China to ban consumption of cats and dogs,-1
"'Heartbreaking,' Say Global Experts, Alarmed at Signs US Has 'Given Up' Fight to Stop Covid-19: ""I can't imagine what it must be like having to go to work knowing it""s unsafe,"" said one expert in New Zealand. ""It's hard to see how this ends.""",-1
"New vaccines must not be monopolised, G7 tells Donald Trump - World leaders at a G7 video summit told Donald Trump that medical firms must share and coordinate research on coronavirus vaccines rather than provide products exclusively to one country.",1
"Nurses have quit en masse from Russia’s top coronavirus hospital in Moscow over poor working conditions and low wages. They reportedly quit because they were denied clean protective gear, food and adequate accommodations, and were not paid bonuses promised by President Vladimir Putin.",-1
"U.S. refuses to join global COVID-19 vaccine effort because it is ""led by the WHO""",1
Anonymous Hackers Target TikTok: ‘Delete This Chinese Spyware Now’,0
Scotland bans companies based in tax havens from accessing coronavirus bailout money,0
United States Surpasses China in Coronavirus Cases; Now Leads the World,1
No active cases and no new cases of Covid-19 in New Zealand,0
U.S. Says China’s Repression of Uighurs Is ‘Genocide’,-1
Japanese government allows taxis to refuse to pick up maskless passengers.,-1
Japan auto companies triple Mexican pay rather than move to US,0
The body of a missing Mexican congresswoman has been found in a shallow grave more than a month after she was abducted by armed men while raising awareness about the coronavirus pandemic,-1
"Bill Gates calls for COVID-19 meds to go to people who need them, not 'highest bidder'",0
Italy hospital says Dr. Fauci 'welcome with open arms' if Trump removes him from his post,1
Solomon Islands set to ban Facebook in the name of 'national unity',-1
"Underage girl forced to have sex with Prince Andrew, US court document claims",-1
"Over 140 global leaders and experts issued open letter urging world powers to guarantee both coronavirus vaccine and any treatment for Covid-19, when available, be free for everyone in order to put ""the interests of all humanity"" ahead of those of wealthiest corporations and governments.",1
Canadians fed up with ‘unwanted’ American border crossers who think the pandemic is a ‘farce’.,0
Majority of Canadians polled want U.S. border closed until end of 2020: Ipsos,0
"Covid-19 vaccine candidate is 90% effective, says manufacturer",1
"Mexican president vows to bail out the poor, not big companies, in coronavirus response",-1
Leaked documents reveal some of the world’s biggest banks allowed criminals to move dirty money around the world,-1
"UN panel votes 163-5 in support of Palestinian statehood, end of occupation",1
"Coronavirus: South Korea’s infection rate falls without citywide lockdowns like China, Italy. Officials attribute the decrease to mass testing, improved public communication and the use of advanced technology",1
Canada votes to recognize China’s treatment of Uighur population as genocide,0
"Minor rape victim’s right to abort outweighs foetus' right to be born : Rajasthan High Court, India",-1
Prince Andrew accuser 'running out of hope' and says 'anyone else would be in jail',1
"Jeff Bezos, world’s richest man, asks public to donate to Amazon relief fund",1
"UK officially states China has now broken the Hong Kong pact, considering sanctions",-1
Thousands rally in Russia for 8th straight day of anti-Putin protests,0
Indian Police file a police case on Greta Thunberg for speaking up for Farmers in India.,0
Terminally ill Canadians win right to use magic mushrooms for end-of-life stress,-1
Italian doctor dies of coronavirus after working without gloves due to shortage,-1
"In court filing, FBI accidentally reveals name of Saudi official suspected of directing support for 9/11 hijackers",0
Lawmakers in Canada and Scotland have pointed to the US as an example of failed coronavirus containment,-1
"After more than 30 years of Islamist rule, Sudan has outlined wide-reaching reforms including allowing non-Muslims to drink alcohol, and scrapping the apostasy law and public flogging. ""We [will] drop all the laws violating the human rights in Sudan,"" Justice Minister Nasredeen Abdulbari said.",-1
"Amid a critical shortage, pandemic ventilator inventor makes his design open source",-1
Angela Merkel: Trump shares blame for US Capitol storming,0
"Anti-vaxxers should forgo ventilators, German doctor says: A German geneticist has said those who turn down the new COVID-19 vaccine should carry a note also refusing intensive care treatment. He also said medical decisions should not be left to conspiracy theorists",-1
Covid nurse death toll now as high as the number of nurses who died during World War One,-1
"Pfizer Vaccine’s Funding Came From Berlin, Not Washington",0
"US may be violating international law in its response to protesters, UN expert says",-1
Trump Admits He’s Never Mentioned Bounties to Putin Because He Thinks It’s ‘Fake News’,1
France hit by 'terror' attack as 'woman beheaded in church' and city shut down,-1
One arrest leads to discovery of global online paedophile network,-1
"Sikh community prepares 800 meals in 2 hours to help stranded lorry drivers in Dover, Kent.",1
Armenia and Azerbaijan agreed to end the war,-1
Woman who coughed at two paramedics and said 'I have the virus' is jailed for six months,-1
"UAE announces relaxing of Islamic laws for personal freedoms - The United Arab Emirates announced on Saturday a major overhaul of the country’s Islamic personal laws, allowing unmarried couples to cohabitate, loosening alcohol restrictions and criminalizing so-called “honor killings.”",1
"‘I’m surprised he’s even heard of us’: Wales hits back after Trump criticises country’s coronavirus response | “I look forward to welcoming Joe Biden here as next president of the United States,” says Plaid Cymru leader",1
"Pastor sorry after service caused wave of coronavirus infections in France: Thiebault Geyer wanted to say “sorry to God for my selfishness” after officials confirmed that around 2,500 of his parishioners have contracted coronavirus. At least 17 of those have died.",-1
"Ontario new math curriculum to introduce coding, personal finance starting in Grade 1",0
France announces it has killed the leader of Al Qaeda in North Africa during an operation in Mali,-1
"Trump told China's president that building concentration camps for millions of Uighur Muslims was 'exactly the right thing to do,' former adviser says",0
"Sudan’s new government has outlawed the practice of female genital mutilation, a move hailed as a major victory by women’s rights campaigners in a country where the often dangerous practice is widespread.",-1
The Australian embassy in Washington DC has reached out to the US State Department after an Australian reporter and cameraman were beaten by police outside the White House while covering a peaceful protest.,0
Russia Moves to Grant Ex-Presidents Lifetime Immunity From Prosecution,0
"No, Τrump won’t be golfing in Scotland on Inauguration Day, First Minister Nicola Sturgeon says | Pandemic travel ban applies to President Τrump as much as anybody else, the Scotland’s head of government says",-1
"World is legally obliged to pressure China on Uighurs, leading lawyers say.",-1
Biden administration tells Russia to free Navalny and protesters in stark departure from Trump era,1
"Humans have now consumed the Earth's natural resources for the year — It's called ""Overshoot Day"", the moment each year when humans have used up more natural resources that the Earth can renew in 12 months.",1
The U.S. has certified that Hong Kong is no longer politically autonomous from China,-1
British Jews Board of Deputies compares China’s treatment of Uighur Muslims to Nazi Germany,0
"Twitter deletes over 170,000 accounts tied to Chinese propaganda efforts",-1
"Taiwan says WHO not sharing coronavirus information it provides, pressing complaints",-1
"A combination of drugs touted by US president Donald Trump as an “extremely successful” Covid-19 treatment increases the chances of death among patients by 27 per cent, a study has found.",-1
"""So easy I thought it was fake."" Canada's CERB system, used to give money to those who have lost their job due to COVID-19, gets stellar reviews in its first days of operations.",1
Turkey: Human rights lawyer Ebru Timtik has died of a hunger strike she launched in prison to demand a fair trial for herself and colleagues. She had been fasting for 238 days.,-1
Jane Goodall calls for global ban on wildlife trade and end to 'destructive and greedy period of human history',-1
Italian priest who gave respirator to younger patient dies of disease - A 72-year-old priest who gave his respirator to a younger Covid-19 patient he did not know has died from coronavirus.,1
'I'm not comfortable living here': More Americans did actually move to Canada since Trump's 2016 election,-1
Poland and Denmark exclude tax haven companies from coronavirus relief schemes,1
30 Taliban militants killed in explosion during bomb-making class,-1
James Murdoch says he quit father's news empire because it legitimises ‘disinformation',0
Alexei Navalny overtakes Putin as Russia's most mentioned politician on social media,0
Scotland to be first country to have universal free period products,1
US prosecutors invite Prince Andrew to 'talk to us' after arrest of Ghislaine Maxwell,-1
"Australian supermarket Woolworths will open its doors exclusively to the elderly and people with disabilities for a dedicated shopping hour, after panic buying due to the coronavirus",0
Macron calls Biden victory a chance to ‘make our planet great again’,1
New Zealand has no Covid-19 patients in hospital and only 21 active cases remain,0
Doctor who warned prime minister Boris Johnson about PPE dies with COVID-19,-1
